Y1	Y2	Y	Domain	area	keywords	Abstract
5	48	120	Medical 	 Senior Health  	 health economists; publications; production functions        	"This paper investigates the research productivity of U.S. health economists, both in the past five years and over their careers to date. We examine quantity of overall publications, as well as quantity within categories of journals. We study unique data from a 2005 survey of U.S. health economists who were members of the International Health Economics Association or the Health Economics Interest Group of AcademyHealth. Basic descriptives indicate that senior health economists have considerably greater five-year research productivity than less senior researchers. Roughly a third of health economists employed in economics departments report that publishing in non-economics journals is ""not recommended"" for promotion and tenure. Regression models indicate that the factors associated with greater productivity include: more hours spent per week on research, experience, and type of academic unit. The findings reported here offer insight, into the heterogeneity of health economists and contribute to our understanding of the productivity of academic economists more generally."
0	7	7	CS 	 Parallel computing  	 Shells; Fracture; Discontinuous Galerkin; Cohesive zone; Parallel computing        	We propose a computational framework for the simulation of deformation and fracture in shells that is well suited to situations with widespread damage and fragmentation due to impulsive loading. The shell is modeled with a shear-flexible theory and discretized with a discontinuous Galerkin finite element method, while fracture is represented with a cohesive zone model on element edges. A key feature of the method is that the underlying shear-flexible shell theory enables the description of transverse shear fracture modes, in addition to the in-plane and bending modes accessible to Kirchhoff-Love thin shell formulations. This is especially important for impulsive loading conditions, where shear-off failure near stiffeners and supports is common. The discontinuous Galerkin formulation inherits the scalability properties demonstrated previously for large-scale simulation of fracture in solids, while avoiding artificial elastic compliance issues that are common in other cohesive model approaches. We demonstrate the ability of the framework to capture the transverse shear fracture mode through numerical examples, and the parallel computation capabilities of the method through the simulation of explosive decompression of the skin of a full-scale passenger aircraft fuselage. (C) 2016 Published by Elsevier B.V.
5	18	90	Medical 	 Emergency Contraception  	 SPRM; selective progesterone receptor modulators; uterine leiomyoma; contraception        	Uterine leiomyomata are benign, monoclonal tumors arising from smooth muscle cells, which belong to one of the most common pathologies of the female genital system. Current pharmacotherapies (oral contraceptives, progestins, GnRH analogs) are ineffective or of limited use for long-term treatment. Although there is still much debate regarding their etiology it is very likely that progesterone and progesterone receptor play a key role in their development. Profound importance of progesterone in the female reproductive system has led to discovery of synthetic progesterone receptor ligands, which can poses the activity ranging from pure agonist activity trough mixed agonist/antagonist activity to pure antagonist activity Development of selective progesterone receptor modulators (SPRM) has created new therapeutic options and has great potential in a number of gynecologic indications. So far, ulipristal acetate has been approved for emergency contraception, mifepristone as a progesterone receptor antagonist because of the unique property of this compound for termination of pregnancy Recently the European Commission has authorized ulipristal acetate for the pre-operative treatment of uterine fibroids. Superior efficacy of ulipristal acetate versus placebo, to reduce excessive uterine bleeding and to reduce total fibroid volume prior to surgery was demonstrated. Moreover, non-inferior efficacy of ulipristal acetate versus Gonadotropin Releasing Hormone (GnRH)-agonist to reduce excessive uterine bleeding prior to surgery of uterine fibroids has been documented. Ulipristal acetate is also characterized by a superior side-effect profile in comparison to leuprolide acetate in terms of serum estradiol levels and the proportion of patients with moderate-to-severe hot flashes during treatment. Regarding safety profile, except elevation of liver enzymes after telapristone and onapristone treatment, to date no serious untoward effects of other SPRM have been reported. The issue of endometrial effects of these compounds remains to be resolved, although observation that intrinsic agonist activity of SPRM prevents endometrial proliferation may suggest future use of these agents in prevention of endometrial hyperplasia. Other promising applications, including endometriosis, endometrial cancel; Cushing's disease, Alzheimer disease or long-term contraception, are currently in development.
1	0	17	ECE 	 Electricity  	 Battery; electricity pricing; hybrid energy storage system; photovoltaic (PV) power; power management; supercapacitor        	This paper proposes a supervisory power management system (PMS) for a grid interactive microgrid with a hybrid energy storage system. The key feature of the proposed PMS is reduced number of sensors required to implement the PMS. The PMS considers renewable power variation, grid availability, electricity pricing, and changes in local loads. It can detect the operating mode of system without measuring load currents and powers. A single-phase voltage source converter (VSC) transfers real power between dc grid and utility grid besides offering ancillary services such as harmonic mitigation, reactive power support, and unity power factor at the point of common coupling (PCC). In the proposed system, a better dc-link voltage regulation is achieved and the usage of supercapacitors reduces the current stress on the battery. The PMS also addresses extreme operating conditions such as load shedding, off-maximum power point tracking operation of photovoltaic, elimination of critical oscillation of hybrid energy storage systems power, islanded operation, and resynchronization with grid. The performance of the proposed PMS is verified by digital simulation and experimental studies.
5	27	99	Medical 	 Hypothyroidism  	 Hyperthyroidism; Stroke; Cerebral infarction; Blood-brain barrier        	Background: Hyperthyroidism as a risk factor for stroke is not conclusive. There are no definite data on the relationship between ischemic cerebrovascular injury and hyperthyroidism. This study was designed to define whether the outcomes of post-ischemic stroke injury are influenced by chronic hyperthyroidism. Methods: Two groups of hyperthyroid ( HT) and control euthyroid rats of equal numbers ( n=22) were included in the study. Hyperthyroidism was induced for 4 weeks by adding L-thyroxine ( 300 mu g/kg) to drinking water. The middle cerebral artery occlusion technique was used to induce focal cerebral ischemia. Neurological disability ( neurological deficit score [ NDS]) was evaluated after 24 hours, and the rats were sacrificed to obtain their brain. Triphenyl Tetrazolium Chloride ( TTC) staining and Evans Blue ( EB) extravasation were used to quantify cerebral infarct volume and cerebrovascular integrity disruption. Data analysis was done using SPSS, version 21. Results: Thyroid hormones levels, T3 ( 314+/-7 vs. 198+/-3 ng/dL; P=0.001) and T4 ( 9.8+/-0.3 vs. 3.08+/-0.07 mu g/dL; P=0.001), were significantly higher in the HT group than in the controls. Furthermore, most clinical signs seen in hyperthyroid patients were also present in the HT group. Comparison of the data on cerebral ischemia between the HT and control groups showed significant increases in the NDS ( 2.76+/-0.16 vs. 2.23+/-0.09; P=0.03), cerebral infarct volume ( 479+/-12 vs. 266+/-17 mm(3); P=0.001), and EB extravasation ( 50.08+/-2.4 vs. 32.6+/-1.2 mu g/g; P=0.001) in the former group. Conclusion: The intensified cerebral infarct size and cerebrovascular integrity disruption suggested that chronic hyperthyroidism aggravated post-stroke injury in the rats. More investigation is required to analyze the pathological mechanisms underlying the association between cerebrovascular disease and hyperthyroidism.
2	7	40	Psychology  	 Depression  	 Social dynamics; Social models; Psychological stress; Socially buffered response; Stability diagrams        	"Recent work has introduced social dynamic models of people's stress-related processes, some including amelioration of stress symptoms by support from others. The effects of support may be ""direct"", depending only on the level of support, or ""buffering"", depending on the product of the level of support and level of stress. We focus here on the nonlinear buffering term and use a model involving three variables (and 12 control parameters), including stress as perceived by the individual, physical and psychological symptoms, and currently active social support. This model is quantified by a set of three nonlinear differential equations governing its stationary-state stability, temporal evolution (sometimes oscillatory), and how each variable affects the others. Chaos may appear with periodic forcing of an environmental stress parameter. Here we explore this model carefully as the strength and amplitude of this forcing, and an important psychological parameter relating to self-kindling in the stress response, are varied. Three significant observations are made: 1. There exist many complex but orderly regions of periodicity and chaos, 2. there are nested regions of increasing number of peaks per cycle that may cascade to chaos, and 3. there are areas where more than one state, e.g., a period-2 oscillation and chaos, coexist for the same parameters; which one is reached depends on initial conditions. (C) 2017 Elsevier B.V. All rights reserved."
1	4	21	ECE 	 Digital control  	 Buck-boost transitions; dc-dc power converters; dead-zone avoidance; digital control; noninverting buck-boost converter        	A new hysteresis window method is proposed as a solution for avoiding the operational dead zone that exists at the transition between buck and boost operating modes in all noninverting buck-boost converters. In addition, this method also eliminates the discontinuities in the converter's steady-state output voltage transfer characteristic, which is a function of the duty cycle. The converter's output voltage function is surjective and, therefore, smooth mode transitions are achieved. The negative effects of operating within the dead zone are shown by the presence of subharmonics in the output voltage, increased output voltage ripple, poor regulation, and the instability of the converter during the transition between buck and boost operating modes. The dead-zone avoidance technique proposed in this paper eliminates all these issues while at the same time ensures highly efficient operation of the converter. An additional advantage of the technique is its simplicity, which allows for implementation into low-cost digital signal controllers, as well as into analog control circuits. The advantageous features of the proposed approach were evaluated on the basis of comparisons with three other dead-zone avoidance approaches and the initial case, which does not utilize any dead-zone avoidance technique. All the experiments were carried out on a purpose-built prototype of a noninverting buck-boost converter with magnetically coupled inductors.
5	11	83	Medical 	 Birth Control  	 Essure micro-inserts; Hysteroscopic sterilization; Hydrosalpinges; In vitro fertilization; Permanent birth control; Pregnancy outcomes; Unintended pregnancies        	This was a retrospective review of all pregnancies reported after Essure in situ in the Netherlands. Pregnancies included those that were unintentional (resulting from lack of protocol adherence and/or misread confirmation tests) and those that were intentional (resulting from off-label use of Essure micro-inserts for hydrosalpinx closure before in vitro fertilization/intracytoplasmic sperm injection with embryo transfer or in vitro fertilization with embryo transfer after regret of sterilization). The outcomes of 50 pregnancies in women with I or 2 micro-inserts in situ were evaluated. Eight unintended pregnancies and 18 intended pregnancies resulted in birth of a full-term healthy baby. Seven infants were delivered via cesarean-section. Two women delivered prematurely by C-section, (singleton after 34 weeks 1 day, twins after 35 weeks 3 days). All babies are healthy and without any congenital anomalies. There were 2 stillbirths after 20 weeks; however, it is unlikely that this was related to the presence of the micro-inserts. In conclusion, it is unlikely that the presence of intratubal micro-inserts interferes with implantation and the developing amniotic sac and fetus. (C) 2014 AAGL. All rights reserved.
5	18	90	Medical 	 Emergency Contraception  	 Mifepristone; RU486; Apoptosis Bax; Bcl-2        	An increase in apoptotic activity has been observed in both the rabbit and the rat endometria following treatment with RU486. The aim of this study was to assess whether Bax and Bcl-2 signaling, in response to RU486, could be crucial role players mediating apoptosis in the rat uterus during early pregnancy. RU486 is a partial progesterone (P4) and estrogen receptor antagonist, functioning to actively silence P4 receptor gene-associated transcription. Although an increase in apoptosis as a result of RU486 administration has been previously reported in rabbits, the specific apoptotic factors and pathways involved in driving this process have not yet been established. Immunofluorescent techniques were used to determine protein expression levels of both Box and Bcl-2 in RU486-treated endometria at days 4.5, 5.5 and 6.5 of pregnancy. The Bax/Bcl-2 index was used to determine the overall pro- or anti-apoptotic setting at each day of pregnancy, following RU486 administration. Changes in the Bax and Bcl-2 gene expression levels as a consequence of RU486 administration were evaluated using RT-qPCR. Both the protein and gene expression analyses suggest that RU486 induces a change toward an overall anti-apoptotic signal within the Bax/Bcl-2 pathway. These results suggest that the observed increase in apoptosis following RU486 administration is not driven by a shift in the Bax/Bcl-2 ratio toward cell death, when the P4 and estrogen receptors are partially inactivated by RU486, but is possibly regulated by another apoptotic pathway. (C) 2013 Society for Biology of Reproduction & the Institute of Animal Reproduction and Food Research of Polish Academy of Sciences in Olsztyn. Published by Elsevier Urban & Partner Sp. z o.o. All rights reserved.
5	31	103	Medical 	 Low Testosterone  	 APOE; Testosterone; Episodic memory; Middle-age; Gene-hormone interaction        	Age-related changes in testosterone are believed to be a key component of the processes that contribute to cognitive aging in men. The APOE-epsilon 4 allele may interact with testosterone and moderate the hormone's association with cognition. The goals of the present study were to examine the degree to which free testosterone is associated with episodic memory in a community-based sample of middle-aged men, and examine the potential interaction between free testosterone and the APOE-epsilon 4 allele. Data were used from 717 participants in the Vietnam Era Twin Study of Aging. Average age was 55.4 years (standard deviation = 2.5). Significant positive associations were observed between free testosterone level and verbal episodic memory, as well as a significant interaction between free testosterone and APOE-epsilon 4 status. In epsilon 4 carriers free testosterone was positively associated with verbal episodic memory performance (story recall), whereas no association was observed in epsilon 4 noncarriers. Results support the hypothesis that APOE-epsilon 4 status increases susceptibility to other risk factors, such as low testosterone, which may ultimately contribute to cognitive decline or dementia. (C) 2014 Elsevier Inc. All rights reserved.
1	4	21	ECE 	 Digital control  	 Approximately digital control; Output rectifier; Transformer core imbalance; Voltage sensor        	A high-efficiency method is proposed to suppress magnetic core imbalance in phase-shifted full-bridge (PSFB) converters. Compared with conventional solutions, such as controlling peak current mode (PCM) or adding DC blocking capacitance, the proposed method has several advantages, such as lower power loss and smaller size, because the additional current sensor or blocking capacitor is removed. A time domain model of the secondary side is built to analyze the relationship between transformer core imbalance and cathode voltage of secondary side rectifiers. An approximate control algorithm is designed to achieve asymmetric phase control, which reduces the effects of imbalance. A 60 V/15 A prototype is built to verify the proposed method. Experimental results show that the numerical difference of primary side peak currents between two adjacent cycles is suppressed from 2 A to approximately 0 A. Meanwhile, compared with the PCM solution, the efficiency of the PSFB converter is slightly improved from 93% to 93.2%.
2	8	41	Psychology  	 Borderline personality disorder  	 Ideation; Attempts; Gender; Capability for suicide; Interpersonal needs; Domestic violence offenders; Psychiatric symptoms        	Little is known about risk factors for suicide ideation and attempts among domestic violence offenders. Guided by the interpersonal-psychological theory of suicide, this cross-sectional study examined risk factors for suicide ideation and attempts among 312 men and 84 women arrested for domestic violence and mandated to attend batterer intervention programs. Men reported greater capability for suicide, but no gender differences were found in perceived burdensomeness and thwarted belongingness. After controlling for correlates of suicide ideation, perceived burdensomeness but not thwarted belongingness or its interaction with perceived burdensomeness associated with suicide ideation. Suicide attempters exhibited greater perceived burdensomeness, drug use and problems, borderline personality disorder symptoms, depressive symptoms, and suicide ideation, but not capability for suicide, than nonattempters. Gender did not moderate the associations of the IPTS constructs with suicide ideation and attempts. These findings parallel tests of the interpersonal psychological theory in other samples. Additional work is needed to identify factors that distinguish risk for suicide ideation from risk for suicide attempts among domestic violence offenders.
1	7	24	ECE 	 Microcontroller  	 Machine learning; Real-time systems; Cost estimation; Classification system design        	Smart embedded systems often run sophisticated pattern recognition algorithms and are found in many areas like automotive, sports and medicine. The developer of such a system is often confronted with the accuracy-cost conflict as the resulting system should be as accurate as possible while being able to run on resource constraint hardware. This article introduces a method to support the solution of this design conflict with accuracy-cost reports. These reports compare classification systems regarding their classification rate (accuracy) and the mathematical operations and parameters of the working phase (cost). Our method is used to deduce the specific cost of various popular pattern recognition algorithms and to derive the overall cost of a classification system. We also show how our analysis can be used to estimate the computational cost for specific hardware architectures. A software toolbox to create accuracy-cost reports was implemented to facilitate the automatic classification system comparison with the presented methodology. The software is available for download and as supplementary material. We performed different experiments on synthetic and real-world data to underline the value of this analysis. Accurate and computationally cheap classification systems were easily identified. We were even able to find a better implementation candidate in an existing embedded classification problem. This work is the first step towards a comprehensive support tool for the design of embedded classification systems.
1	15	32	ECE 	 Operational amplifier  	 CNTFET based Op-Amp; low Power; biomedical applications; sample and hold; HSPICE        	VLSI technology is being adopted widely nowadays for biomedical applications to improve healthcare diagnosis, monitoring and cure. Analog devices such as A/D converters for biomedical applications can be of modest precision but need to be very energy efficient in order to operate for decades. CNTFET can be the future alternative to be used in various high performance, low power devices. In this paper we have presented a low power CNTFET based two stage Op-Amp for biomedical A/D converters. A sample and hold circuit is also implemented using CNTFET based Op-Amp to be used in biomedical ADCs. Simulation results of CNTET based circuits are compared with MOSFET circuits. Results indicate improvement of power consumption up to 80%. The proposed circuit simulations are carried out in HSPICE. It is concluded that CNTFET based circuits can be prime choice for low power applications.
